Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
MoveBlock 417225282 | added to participant #1
EndDragBlock 417225282 | added to participant #1
MouseReleased | added to participant #1
StartDragBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MouseClick | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
MoveBlock 638838388 | added to participant #1
EndDragBlock 638838388 | added to participant #1
MouseReleased | added to participant #1
NewTask 51 | added to participant #1
CreateBlock 663226052 | added to participant #1
StartDragBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MouseClick | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
MoveBlock 663226052 | added to participant #1
EndDragBlock 663226052 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1973547259 | added to participant #1
StartDragBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
MoveBlock 1973547259 | added to participant #1
EndDragBlock 1973547259 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 525850964 | added to participant #1
StartDragBlock 525850964 | added to participant #1
MoveBlock 525850964 | added to participant #1
MouseClick | added to participant #1
MoveBlock 525850964 | added to participant #1
MoveBlock 525850964 | added to participant #1
MoveBlock 525850964 | added to participant #1
MoveBlock 525850964 | added to participant #1
MoveBlock 525850964 | added to participant #1
MoveBlock 525850964 | added to participant #1
MoveBlock 525850964 | added to participant #1
EndDragBlock 525850964 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1497895052 | added to participant #1
StartDragBlock 1497895052 | added to participant #1
MoveBlock 1497895052 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1497895052 | added to participant #1
MoveBlock 1497895052 | added to participant #1
MoveBlock 1497895052 | added to participant #1
